Comment,Time,zan
医院里的墙比教堂听过更多的祈祷， 酒店里的床比监狱听过更多的谎话，学校比婚礼见证了更多真诚的表白，战士比牧师听过更多的山盟海誓，离开比遇见更能看清一个人的内心，分开比相处更能见证两个人的爱情，夏天的风比秋天的更加萧瑟，冬天的暖阳比春天更加温暖，死亡面前的爱情比婚礼面前的爱情更真诚，白菊比红玫瑰见证了更多的爱与思念，愚人节的告白比情人节的告白更真挚，殡仪馆的悔恨永远比教堂多，车窗上书写着比远方更美的故事，分离式的拥抱永远比遇见时更多，总有人用愚人节的谎言说出真话，上课站起来回答问题听到比完美犯罪还完美的“答案”，孤零零的墙角见证过更多的心酸与不满，机场比婚礼见过更真实的吻,5月20日 14:48  来自湖南,
医院里的墙比教堂听过更多的祈祷， 酒店里的床比监狱听过更多的谎话，学校比婚礼见证了更多真诚的表白，战士比牧师听过更多的山盟海誓，离开比遇见更能看清一个人的内心，分开比相处更能见证两个人的爱情，夏天的风比秋天的更加萧瑟，冬天的暖阳比春天更加温暖，死亡面前的爱情比婚礼面前的爱情更真诚，白菊比红玫瑰见证了更多的爱与思念，愚人节的告白比情人节的告白更真挚，殡仪馆的悔恨永远比教堂多，车窗上书写着比远方更美的故事，分离式的拥抱永远比遇见时更多，总有人用愚人节的谎言说出真话，上课站起来回答问题听到比完美犯罪还完美的“答案”，孤零零的墙角见证过更多的心酸与不满，机场比婚礼见过更真实的吻,5月20日 13:31  来自北京,6
偷偷告诉你们，现在一听这歌满脑的《招惹》🤥,5月20日 10:23  来自四川,2
记得17岁那年， 第一次和她接吻 ，快亲上的时候， 她突然说等一下 ，我就纳闷了， 她要干嘛？只见她小心翼翼地从兜里拿出三个糖， 就上好佳那种圆的 ，草莓苹果和荔枝味的 ，她让我挑一个喜欢的， 我指了一下那个荔枝的 ，然后问她干嘛? 她二话不说，马上撕开糖纸 ，就把那颗糖给吃了 ，然后一把扯过我的脖子 ，我俩就接吻了 ，全程一股荔枝味 。后来她跟我说 ，人生那么长， 我没有自信能让你记住我， 但是你既然喜欢吃荔枝味的糖 我只能让你记住 我和你接吻是荔枝味的， 这样以后你吃荔枝味的东西都能想起我，但是我一点也不难过，因为这是我复制的,5月20日 06:46  来自广西,2
怎么会有人长得好看歌又好听,5月20日 06:30  来自北京,
模范出租车二,5月20日 01:32  来自广东,
记得17岁那年， 第一次和她接吻 ，快亲上的时候， 她突然说等一下 ，我就纳闷了， 她要干嘛？只见她小心翼翼地从兜里拿出三个糖， 就上好佳那种圆的 ，草莓苹果和荔枝味的 ，她让我挑一个喜欢的， 我指了一下那个荔枝的 ，然后问她干嘛? 她二话不说，马上撕开糖纸 ，就把那颗糖给吃了 ，然后一把扯过我的脖子 ，我俩就接吻了 ，全程一股荔枝味 。后来她跟我说 ，人生那么长， 我没有自信能让你记住我， 但是你既然喜欢吃荔枝味的糖 我只能让你记住 我和你接吻是荔枝味的， 这样以后你吃荔枝味的东西都能想起我， 虽然我们分手了，但是我一点也不难过，因为这是我复制的。,5月19日 23:55  来自湖南,15
鹅,5月19日 23:33  来自江西,
不止是好听,5月19日 22:42  来自云南,
爱哪是神殿，分明是十里扬州，灯火不休,5月19日 21:44  来自陕西,
去舞室上课老师就是教的这首歌，一下子击中我的心，鼓点声音都好听！仙曲,5月19日 20:11  来自湖北,10
满脑子里都是张译,5月19日 18:21  来自福建,53
